Name,Average User Rating,User Rating Count,Price,In-app Purchases,Age Rating,Languages,Size,Genres,Original Release Date,Current Version Release Date
Sudoku,4,3553,2.99,No,4+,DA. NL. EN. FI. FR. DE. IT. JA. KO. NB. PL. PT. RU. ZH. ES. SV. ZH,15853568, Strategy. Puzzle,11/07/2008,30/05/2017
Reversi,3.5,284,1.99,No,4+,EN,12328960, Strategy. Board,11/07/2008,17/05/2018
Morocco,3,8376,0,No,4+,EN,674816, Board. Strategy,11/07/2008,5/09/2017
Sudoku (Free),3.5,190394,0,No,4+,DA. NL. EN. FI. FR. DE. IT. JA. KO. NB. PL. PT. RU. ZH. ES. SV. ZH,21552128, Strategy. Puzzle,23/07/2008,30/05/2017
Senet Deluxe,3.5,28,2.99,No,4+,DA. NL. EN. FR. DE. EL. IT. JA. KO. NO. PT. RU. ZH. ES. SV,34689024, Strategy. Board. Education,18/07/2008,22/07/2018
Sudoku - Classic number puzzle,3,47,0,Yes,4+,EN,48672768, Entertainment. Strategy. Puzzle,30/07/2008,29/04/2019
Gravitation,2.5,35,0,No,4+,EN,6328320, Entertainment. Puzzle. Strategy,30/07/2008,14/11/2013
Colony,2.5,125,0.99,No,4+,EN,64333824, Strategy. Board,3/08/2008,3/10/2018
Carte,2.5,44,0,No,4+,FR,2657280, Strategy. Board. Entertainment,3/08/2008,23/11/2017
"""Barrels O' Fun""",2.5,184,0,No,4+,EN,1466515, Casual. Strategy,1/08/2008,1/08/2008
Quaddraxx,4,3306,0,No,4+,EN,3089867, Entertainment. Strategy. Puzzle,11/08/2008,30/09/2008
Lumen Lite,3.5,5072,0,No,4+,EN,7086403, Puzzle. Strategy,18/08/2008,22/11/2008
BubblePop,3,526,0,No,4+,EN,845008, Strategy. Entertainment,22/08/2008,25/07/2009
Marple,3.5,989,0.99,No,4+,EN,3643392, Puzzle. Strategy,28/08/2008,5/05/2019
Tetravex Lite,2.5,2358,0,No,4+,EN,731525, Puzzle. Strategy. Entertainment,27/08/2008,21/10/2008
Awele/Oware - Mancala HD,3,112,0,Yes,4+,EN. FR. DE. IT. ES,122826752, Strategy. Board,31/08/2008,6/04/2015
Chess Game,3,504,0,No,4+,EN,444163, Board. Strategy,2/09/2008,7/10/2009
Catcha Mouse,3.5,95971,0,Yes,4+,EN,26820692, Puzzle. Strategy,19/02/2009,26/04/2013
"Cool Sudoku, Jigsaw, Killer",3.5,357,0,Yes,4+,EN,52236288, Strategy. Puzzle. Entertainment,24/09/2008,26/04/2019
Mind the Corners,3,7,0.99,No,4+,EN,1530880, Strategy. Entertainment. Board,19/09/2008,26/10/2016
